pkg_name,pypi_name,version
python-google-api-python-client,google-api-python-client,1.6.7
python-pyScss,pyScss,1.3.4
python-argon2-cffi,argon2-cffi,20.1.0
python-bandit,bandit,1.6.2
python-bashate,bashate,0.6.0
python-bcrypt,bcrypt,3.1.4
python-boto,boto,2.45.0
python-certifi,certifi,2018.10.15
python-consul,python-consul,1.1.0
python-defusedxml,defusedxml,0.5.0
python-deprecation,deprecation,1
python-django-babel,django-babel,0.6.2
python-django-compressor,django-compressor,2.1
python-django-pyscss,django-pyscss,2.0.2
python-doc8,doc8,0.8.0
python-etcd3,etcd3,0.8.1
python-etcd3gw,etcd3gw,0.2.4
python-fasteners,fasteners,0.14.1
python-flake8-docstrings,flake8-docstrings,0.2.1.post1
python-Flask-RESTful,Flask-RESTful,0.3.6
python-gabbi,gabbi,1.42.1
python-GitPython,GitPython,1.0.1
python-hacking,hacking,1.1.0
python-jmespath,jmespath,0.9.0
python-jsonpath-rw,jsonpath-rw,1.2.3
python-jsonpath-rw-ext,jsonpath-rw-ext,1.0.0
python-keystonemiddleware,keystonemiddleware,4.21.0
python-oslosphinx,oslosphinx,4.18.0
python-PasteDeploy,PasteDeploy,1.5.2
python-pep257,pep257,0.7.0
python-pep8,pep8,1.6.2
python-pifpaf,pifpaf,1.1.0
python-pika-pool,pika-pool,0.1.3
python-Pint,Pint,0.6
python-pydotplus,pydotplus,2.0.2
python-pyghmi,pyghmi,1.0.22
python-pymemcache,pymemcache,1.4.4
python-PyMI,PyMI,1.0.0
python-pysnmp,pysnmp,4.4.5
python-requestsexceptions,requestsexceptions,1.4.0
python-restructuredtext-lint,restructuredtext-lint,1.1.3
python-retrying,retrying,1.2.3
python-rfc3986,rfc3986,0.3.1
python-Routes,Routes,2.4.1
python-rtslib-fb,rtslib-fb,2.1.66
python-scciclient,python-scciclient,0.7.3
python-scrypt,scrypt,0.8.0
python-setproctitle,setproctitle,1.1.9
python-sphinx-feature-classification,sphinx-feature-classification,0.3.0
python-sphinxcontrib-apidoc,sphinxcontrib-apidoc,0.2.1
python-sqlalchemy-migrate,sqlalchemy-migrate,0.11.0
python-SQLAlchemy-Utils,SQLAlchemy-Utils,0.32.12
python-statsd,statsd,3.2.2
python-stevedore,stevedore,1.28.0
python-suds-jurko,suds-jurko,0.6
python-sushy,sushy,1.6.0
python-sysv-ipc,sysv-ipc,1.0.0
python-tabulate,tabulate,0.8.2
python-testrepository,testrepository,0.0.20
python-testresources,testresources,1.0.0
python-unicodecsv,unicodecsv,0.14.1
python-uritemplate,uritemplate,3.0.0
python-voluptuous,voluptuous,0.11.5
python-weakrefmethod,weakrefmethod,1.0.2
python-websockify,websockify,0.8.0
python-WMI,WMI,0.5
python-wsgi-intercept,wsgi-intercept,1.2.2
python-XStatic,XStatic,1.0.1
python-XStatic-Angular,XStatic-Angular,1.5.8.0
python-XStatic-Angular-Bootstrap,XStatic-Angular-Bootstrap,2.2.0.0
python-XStatic-Angular-FileUpload,XStatic-Angular-FileUpload,12.0.4.0
python-XStatic-Angular-Gettext,XStatic-Angular-Gettext,2.3.8.0
python-XStatic-Angular-lrdragndrop,XStatic-Angular-lrdragndrop,1.0.2.2
python-XStatic-Angular-Schema-Form,XStatic-Angular-Schema-Form,0.8.13.0
python-XStatic-Bootstrap-Datepicker,XStatic-Bootstrap-Datepicker,1.3.1.0
python-XStatic-Bootstrap-SCSS,XStatic-Bootstrap-SCSS,3.3.7.1
python-XStatic-bootswatch,XStatic-bootswatch,3.3.7.0
python-XStatic-D3,XStatic-D3,3.5.17.0
python-XStatic-Font-Awesome,XStatic-Font-Awesome,4.7.0.0
python-XStatic-Hogan,XStatic-Hogan,2.0.0.2
python-XStatic-Jasmine,XStatic-Jasmine,2.4.1.1
python-XStatic-jQuery,XStatic-jQuery,1.10.2.1
python-XStatic-JQuery-Migrate,XStatic-JQuery-Migrate,1.2.1.1
python-XStatic-jquery-ui,XStatic-jquery-ui,1.12.0.1
python-XStatic-JQuery.quicksearch,XStatic-JQuery.quicksearch,2.0.3.1
python-XStatic-JQuery.TableSorter,XStatic-JQuery.TableSorter,2.14.5.1
python-XStatic-JSEncrypt,XStatic-JSEncrypt,2.3.1.1
python-XStatic-mdi,XStatic-mdi,1.4.57.0
python-XStatic-objectpath,XStatic-objectpath,1.2.1.0
python-XStatic-Rickshaw,XStatic-Rickshaw,1.5.0.0
python-XStatic-roboto-fontface,XStatic-roboto-fontface,0.5.0.0
python-XStatic-smart-table,XStatic-smart-table,1.4.13.2
python-XStatic-Spin,XStatic-Spin,1.2.5.2
python-XStatic-term.js,XStatic-term.js,0.0.7.0
python-XStatic-tv4,XStatic-tv4,1.2.7.0
python-zake,zake,0.2.2
PyYAML,PyYAML,3.10.0
python-xmltodict,xmltodict,>=0.10.1 # MIT
python-pexpect,pexpect,"!=3.3,>=3.1 # ISC License"